domain,status,source,url,failure_reason
upm.es,skipped,existing_file,,
stiripesurse.ro,not_found,,,privacy_links_empty
sport.ro,not_found,,,no_privacy_links
livesport.cz,skipped,existing_file,,
sport-fm.gr,skipped,existing_file,,
betflag.it,not_found,,,homepage_unreachable
pinterest.de,skipped,existing_file,,
telenor.se,skipped,existing_file,,
autogidas.lt,not_found,,,homepage_unreachable
atg.se,skipped,existing_file,,
portalsamorzadowy.pl,not_found,,,no_privacy_links
alza.cz,not_found,,,homepage_unreachable
pudelek.pl,not_found,,,no_privacy_links
dedeman.ro,not_found,,,homepage_unreachable
agones.gr,skipped,existing_file,,
newsbomb.gr,skipped,existing_file,,
abczdrowie.pl,not_found,,,no_privacy_links
your-storagebox.de,skipped,existing_file,,
orizzontescuola.it,not_found,,,homepage_unreachable
tuttocampo.it,skipped,existing_file,,
kriesi.at,skipped,existing_file,,
sports.fr,not_found,,,no_privacy_links
stricted.de,skipped,existing_file,,
sprzedajemy.pl,skipped,existing_file,,
supersport.hr,not_found,,,homepage_unreachable
seg-social.pt,skipped,existing_file,,
prehrajto.cz,not_found,,,no_privacy_links
bet365.it,skipped,existing_file,,
meinbezirk.at,not_found,,,homepage_unreachable
toprecepty.cz,not_found,,,no_privacy_links
rynekzdrowia.pl,not_found,,,no_privacy_links
pomorska.pl,not_found,,,no_privacy_links
flashscore.es,skipped,existing_file,,
destatis.de,not_found,,,no_privacy_links
orange.pl,not_found,,,no_privacy_links
rip.ie,skipped,existing_file,,
tube8.fr,skipped,existing_file,,
kupi.cz,not_found,,,homepage_unreachable
overheid.nl,skipped,existing_file,,
clara.es,not_found,,,homepage_unreachable
unirioja.es,skipped,existing_file,,
dnevno.hr,skipped,existing_file,,
aruodas.lt,not_found,,,homepage_unreachable
ceskatelevize.cz,skipped,existing_file,,
jbzd.com.pl,not_found,,,no_privacy_links
totalcasino.pl,skipped,existing_file,,
c-srv.de,not_found,,,no_privacy_links
